feature,importance
fft_hf_lf_ratio,228806.29928851128
texture_uniformity,73438.73336338997
resid_fft_mean,66560.170119524
resid_fft_std,63786.14871621132
fft_radial_0,52984.0514523983
color_correlation_rb,35014.56128704548
edge_density,24690.36231458187
fft_radial_17,24206.680131077766
resid_std,21377.786286711693
gradient_regularity,19993.89826488495
color_correlation_rg,18550.50865149498
fft_radial_16,18172.303430318832
fft_hf,15333.479185581207
checkerboard_artifacts,10092.757432222366
fft_radial_std,9511.927937626839
resid_mean,8499.294300317764
fft_radial_1,7313.237278819084
lighting_consistency,7009.541332960129
hf_noise_pattern,6176.137963891029
fft_radial_8,6117.548070430756
fft_radial_3,5374.288560986519
resid_skew,5361.20309984684
fft_radial_5,5328.522121548653
fft_radial_6,5028.693805098534
fft_radial_18,4938.010333418846
fft_radial_19,4933.710276961327
fft_radial_12,4861.136337161064
fft_radial_4,4725.900219798088
resid_kurt,4681.268982768059
fft_radial_9,4585.617921948433
fft_radial_15,4101.947718977928
fft_radial_22,3949.753569960594
fft_radial_20,3907.4114875793457
fft_radial_23,3879.04247713089
fft_radial_10,3848.141233444214
fft_lf,3848.005496263504
fft_radial_7,3826.6936856508255
fft_radial_14,3759.418721795082
fft_radial_2,3610.277322411537
fft_radial_21,3441.1823120117188
fft_radial_11,3072.9826154708862
fft_radial_13,2973.0527658462524
fft_radial_mean,1653.27610039711
jpeg_quality_est,0.0
width,0.0
height,0.0
aspect_ratio,0.0
